Player,Team,League,Version,OVR,POS,BIN,PAC,SHO,PAS,DRI,DEF,PHY,S/M,W/F,W/Rs,Foot,Stats
Kylian Mbappe,Paris Saint-Germain,FRA 1,headliner,93,ST,3.7M,99,90,84,94,39,80,5,4,H/L,Right,"2,210"

George Best,Icons,ICO,icon,93,RW,1.6M,93,91,84,94,58,71,4,4,M/M,Right,"2,278"

Carlos Alberto Torres,Icons,ICO,icon,93,RB,770K,90,66,81,86,90,87,3,4,H/M,Right,"2,238"

Ruud Gullit,Icons,ICO,icon,93,CF,5.2M,86,91,91,89,82,90,4,5,H/M,Right,"2,475"

Franco Baresi,Icons,ICO,icon,93,CB,300K,70,49,76,72,95,82,2,3,M/H,Right,"2,045"

Lothar Matthaus,Icons,ICO,icon,93,CM,3.4M,89,89,90,82,90,85,3,4,H/H,Right,"2,453"

Robert Lewandowski,Bayern München,GER 1,goldif,93,ST,86K,80,93,81,87,45,83,4,4,H/M,Right,"2,197"

Marco van Basten,Icons,ICO,icon,93,ST,444K,83,94,76,89,39,75,3,4,M/M,Right,"2,139"

Thierry Henry,Icons,ICO,icon,93,ST,2.1M,94,91,83,90,53,80,4,4,M/M,Right,"2,246"

Eric Cantona,Icons,ICO,icon,93,CF,2.7M,89,93,90,93,53,92,5,4,H/M,Right,"2,380"

Roberto Baggio,Icons,ICO,icon,93,CAM,590K,86,84,92,92,40,61,5,4,M/L,Right,"2,132"

Xavi,Icons,ICO,icon,93,CM,918K,81,80,95,93,72,72,4,3,H/H,Right,"2,293"

Eusebio,Icons,ICO,icon,93,CF,4M,94,94,86,93,45,79,4,5,H/M,Right,"2,305"

Neymar Jr,Paris Saint-Germain,FRA 1,winterwildcard,93,ST,3M,93,87,88,96,39,66,5,5,H/M,Right,"2,201"

Robert Lewandowski,Bayern München,GER 1,totgsucl,93,ST,151K,80,94,80,88,45,83,4,4,H/M,Right,"2,202"

Kevin De Bruyne,Manchester City,ENG 1,signature,93,CAM,689K,80,88,95,91,67,82,4,5,H/H,Right,"2,345"

Lionel Messi,Paris Saint-Germain,FRA 1,gold,93,RW,247K,85,92,91,95,34,65,4,4,M/L,Left,"2,165"

Cafu,Icons,ICO,icon,93,RWB,1.3M,92,58,85,88,91,86,0,0,/,Right,"2,275"

N'Golo Kante,Chelsea,ENG 1,goldif,92,CM,535K,80,68,79,85,89,86,2,3,M/H,Right,"2,200"

Alessandro Nesta,Icons,ICO,icon,92,CB,318K,72,42,65,67,94,86,2,3,M/H,Right,"1,861"

Hugo Sanchez,Icons,ICO,icon,92,ST,900K,92,93,81,91,44,75,3,4,H/M,Left,"2,228"

Samuel Eto'o,Icons,ICO,icon,92,ST,2.7M,95,93,81,90,47,83,4,4,H/L,Right,"2,264"

Emilio Butragueno,Icons,ICO,icon,92,ST,1.6M,94,90,80,92,41,68,3,5,M/L,Right,"2,156"

Raul,Icons,ICO,icon,92,CF,973K,88,92,82,90,47,75,4,4,H/M,Left,"2,205"

David Beckham,Icons,ICO,icon,92,RM,600K,80,87,95,88,69,82,3,3,H/H,Right,"2,370"

Rivaldo,Icons,ICO,icon,92,LW,538K,87,91,88,92,44,78,4,2,M/L,Left,"2,243"

Puyol,Icons,ICO,icon,92,CB,290K,70,45,68,58,94,90,2,3,M/H,Right,"1,931"

Kenny Dalglish,Icons,ICO,icon,92,ST,1.7M,90,92,77,90,41,73,4,5,H/M,Right,"2,182"

Luis Figo,Icons,ICO,icon,92,RW,770K,92,88,89,92,41,80,4,4,H/L,Right,"2,200"

Ruud van Nistelrooy,Icons,ICO,icon,92,ST,300K,86,91,74,85,37,82,3,3,H/L,Right,"2,094"

Kevin De Bruyne,Manchester City,ENG 1,goldif,92,CAM,180K,78,87,94,89,65,80,4,5,H/H,Right,"2,282"

Ryan Giggs,Icons,ICO,icon,92,LM,320K,90,80,90,91,44,67,3,2,H/M,Left,"2,132"

Dennis Bergkamp,Icons,ICO,icon,92,CF,545K,84,91,86,90,37,78,4,4,M/M,Right,"2,177"

Bobby Moore,Icons,ICO,icon,92,CB,248K,68,64,83,78,93,85,2,3,M/M,Right,"2,224"

Alessandro Del Piero,Icons,ICO,icon,92,CF,575K,83,92,89,92,43,67,4,5,M/M,Right,"2,172"

Hristo Stoichkov,Icons,ICO,icon,92,ST,1M,92,93,86,92,50,86,4,3,M/M,Left,"2,318"

Andrea Pirlo,Icons,ICO,icon,92,CM,465K,73,80,95,91,71,67,5,4,M/M,Right,"2,252"

Javier Zanetti,Icons,ICO,icon,92,RB,420K,86,63,88,85,90,81,2,4,H/H,Right,"2,224"

Peter Schmeichel,Icons,ICO,icon,92,GK,525K,92,87,88,94,49,90,1,3,M/M,Right,"1,226"

Gary Lineker,Icons,ICO,icon,92,ST,349K,88,91,73,86,36,76,3,4,H/L,Right,"2,075"

Fabio Cannavaro,Icons,ICO,icon,92,CB,759K,80,43,63,68,95,85,2,3,L/H,Right,"1,983"

Mohamed Salah,Liverpool,ENG 1,totgsucl,92,RW,697K,93,92,85,93,49,80,4,3,H/M,Left,"2,264"

Cristiano Ronaldo,Manchester United,ENG 1,totgsucl,92,ST,1.3M,88,94,83,90,35,78,5,4,H/L,Right,"2,196"

Kylian Mbappe,Paris Saint-Germain,FRA 1,goldif,92,ST,1.5M,98,89,82,93,37,79,5,4,H/L,Right,"2,172"

Marc-Andre ter Stegen,FC Barcelona,ESP 1,adidas,92,GK,180K,90,94,90,92,45,90,1,4,M/M,Right,"1,009"

Mohamed Salah,Liverpool,ENG 1,potmpl,92,RW,,93,91,86,93,48,81,4,3,H/M,Left,"2,262"

Neymar Jr,Paris Saint-Germain,FRA 1,goldif,92,LW,890K,92,85,87,95,38,65,5,5,H/M,Right,"2,164"

Cristiano Ronaldo,Manchester United,ENG 1,potmpl,92,ST,,88,94,84,89,35,77,5,4,H/L,Right,"2,193"

Garrincha,Icons,ICO,icon,92,RW,1M,90,86,92,94,41,67,5,4,M/L,Right,"2,184"

Ferenc Puskas,Icons,ICO,icon,92,ST,1.3M,89,95,90,91,47,77,4,3,H/M,Left,"2,277"

Paolo Maldini,Icons,ICO,icon,92,CB,1.5M,82,56,74,68,95,81,2,4,M/H,Right,"2,018"

Robert Lewandowski,Bayern München,GER 1,gold,92,ST,48.5K,78,92,79,86,44,82,4,4,H/M,Right,"2,161"

Casillas,Icons,ICO,icon,92,GK,629K,93,89,85,95,60,91,0,0,/,Left,"1,274"

Joshua Kimmich,Bayern München,GER 1,headliner,91,CDM,151K,74,77,88,86,85,81,3,4,H/M,Right,"2,293"

Virgil van Dijk,Liverpool,ENG 1,headliner,91,CB,770K,81,62,74,75,93,87,2,3,M/M,Right,"2,119"

Karim Benzema,Real Madrid,ESP 1,goldif,91,CF,59K,78,89,84,90,41,80,4,4,M/M,Right,"2,151"

Zlatan Ibrahimovic,Milan,ITA 1,winterwildcard,91,ST,2.6M,90,92,88,89,41,89,5,4,H/L,Right,"2,291"

David Trezeguet,Icons,ICO,icon,91,ST,202K,81,92,70,82,45,80,4,4,M/L,Right,"2,037"

Robert Pires,Icons,ICO,icon,91,LM,289K,88,82,88,89,40,64,4,4,M/M,Right,"2,091"

Ronald Koeman,Icons,ICO,icon,91,CB,530K,75,88,89,80,90,86,3,3,H/M,Right,"2,410"

Edwin van der Sar,Icons,ICO,icon,91,GK,639K,85,90,81,89,40,95,1,3,M/M,Right,851

Didier Drogba,Icons,ICO,icon,91,ST,1.1M,90,92,77,82,47,90,4,4,H/H,Right,"2,196"

Alan Shearer,Icons,ICO,icon,91,ST,210K,81,93,77,78,52,85,2,3,H/M,Right,"2,194"

Paul Scholes,Icons,ICO,icon,91,CM,287K,72,87,91,80,64,82,3,3,H/M,Right,"2,253"

Marcel Desailly,Icons,ICO,icon,91,CB,1.3M,83,52,66,67,90,90,2,3,M/H,Right,"1,989"

Bastian Schweinsteiger,Icons,ICO,icon,91,CM,755K,76,86,89,86,86,86,3,3,H/H,Right,"2,390"

Gheorghe Hagi,Icons,ICO,icon,91,CAM,460K,83,89,90,90,43,65,4,4,M/L,Left,"2,180"

Petr Cech,Icons,ICO,icon,91,GK,555K,89,88,80,91,55,92,1,3,M/M,Left,"1,065"

Michael Owen,Icons,ICO,icon,91,ST,420K,90,89,70,88,34,67,3,4,M/M,Right,"2,045"

Patrick Vieira,Icons,ICO,icon,91,CM,3M,83,80,82,85,90,91,3,3,M/H,Right,"2,304"

Pavel Nedved,Icons,ICO,icon,91,LM,575K,85,88,90,90,60,81,4,5,H/M,Right,"2,287"

Steven Gerrard,Icons,ICO,icon,91,CM,710K,77,90,90,85,77,84,3,3,H/M,Right,"2,330"

Michael Ballack,Icons,ICO,icon,91,CM,779K,81,90,88,83,81,86,4,4,M/H,Right,"2,354"

Kaka,Icons,ICO,icon,91,CAM,1.4M,91,86,88,92,44,73,5,4,H/M,Right,"2,170"

Fernando Torres,Icons,ICO,icon,91,ST,1.2M,93,90,79,88,45,78,4,4,H/M,Right,"2,174"

Miroslav Klose,Icons,ICO,icon,91,ST,260K,88,88,76,82,41,81,3,4,H/M,Right,"2,120"

Juan Roman Riquelme,Icons,ICO,icon,91,CAM,239K,70,87,93,93,32,69,5,4,M/L,Right,"2,099"

Fernando Hierro,Icons,ICO,icon,91,CB,259K,73,68,76,70,93,87,2,3,M/H,Right,"2,204"

Michael Laudrup,Icons,ICO,icon,91,CAM,220K,85,79,90,92,38,64,4,4,M/M,Right,"2,074"

Socrates,Icons,ICO,icon,91,CAM,739K,84,90,91,90,45,84,4,5,H/M,Right,"2,242"

Phillip Lahm,Icons,ICO,icon,91,RB,649K,87,72,87,87,90,73,3,3,H/H,Right,"2,307"

Clarence Seedorf,Icons,ICO,icon,91,CAM,499K,80,87,90,88,68,82,4,4,M/M,Right,"2,302"

Laurent Blanc,Icons,ICO,icon,91,CB,685K,79,69,70,78,92,86,2,3,M/H,Right,"2,172"

Patrick Kluivert,Icons,ICO,icon,91,ST,230K,86,88,80,83,41,82,4,4,H/L,Right,"2,148"

Ian Rush,Icons,ICO,icon,91,ST,271K,86,92,72,86,45,81,3,4,H/M,Right,"2,134"

Roberto Carlos,Icons,ICO,icon,91,LB,1.1M,92,83,84,81,86,86,3,2,H/H,Left,"2,392"

Andriy Shevchenko,Icons,ICO,icon,91,ST,350K,88,92,72,87,34,75,3,4,H/H,Right,"2,100"

N'Golo Kante,Chelsea,ENG 1,goldif,91,CM,361K,79,67,77,84,88,84,2,3,M/H,Right,"2,162"

Harry Kane,Tottenham Hotspur,ENG 1,goldif,91,ST,60K,72,92,84,85,48,84,3,5,H/H,Right,"2,187"

Mohamed Salah,Liverpool,ENG 1,goldif,91,RW,397K,92,90,84,92,47,79,4,3,H/M,Left,"2,226"

Karim Benzema,Real Madrid,ESP 1,potmlaliga,91,CF,,79,88,84,90,41,80,4,4,M/M,Right,"2,147"

Johan Cruyff,Icons,ICO,icon,91,CF,2.6M,91,89,88,93,41,72,5,5,H/L,Right,"2,197"

Roberto Baggio,Icons,ICO,icon,91,CAM,365K,88,82,89,90,38,60,5,4,M/L,Right,"2,088"

Franco Baresi,Icons,ICO,icon,91,CB,148K,69,48,74,70,94,80,2,3,M/H,Right,"2,010"

Ronaldinho,Icons,ICO,icon,91,CAM,2.4M,91,86,88,92,36,79,5,4,H/L,Right,"2,169"

Lothar Matthaus,Icons,ICO,icon,91,CDM,1.4M,87,84,86,77,89,82,3,4,H/H,Right,"2,359"

Lev Yashin,Icons,ICO,icon,91,GK,439K,93,85,73,93,62,92,1,3,M/M,Right,"1,222"

Pele,Icons,ICO,icon,91,CF,2.6M,94,89,88,93,53,73,5,4,H/M,Right,"2,290"

Diego Maradona,Icons,ICO,icon,91,CAM,1.6M,93,87,87,94,38,76,5,3,H/M,Left,"2,213"

Eusebio,Icons,ICO,icon,91,CF,2.2M,93,93,88,90,42,74,4,5,H/M,Right,"2,253"

Zinedine Zidane,Icons,ICO,icon,91,CM,1.6M,84,86,91,90,73,81,5,5,H/M,Right,"2,341"

Marco van Basten,Icons,ICO,icon,91,ST,147K,79,92,75,87,40,70,3,4,M/L,Right,"2,077"

Wayne Rooney,Icons,ICO,icon,91,ST,1.2M,89,92,83,88,55,89,0,0,/,Right,"2,302"

Jan Oblak,Atlético de Madrid,ESP 1,gold,91,GK,42.5K,87,92,78,90,50,90,1,3,M/M,Right,976

Neymar Jr,Paris Saint-Germain,FRA 1,gold,91,LW,347K,91,83,86,94,37,63,5,5,H/M,Right,"2,124"

Kevin De Bruyne,Manchester City,ENG 1,gold,91,CM,42.5K,76,86,93,88,64,78,4,5,H/H,Right,"2,248"

Cristiano Ronaldo,Manchester United,ENG 1,gold,91,ST,310K,87,93,82,88,34,75,5,4,H/L,Right,"2,152"

Robin van Persie,Icons,ICO,icon,91,ST,980K,85,94,87,90,46,74,0,0,/,Left,"2,217"

Cristiano Ronaldo,Manchester United,ENG 1,otw,91,ST,1.3M,87,93,82,88,34,75,5,4,H/L,Right,"2,152"

Kylian Mbappe,Paris Saint-Germain,FRA 1,gold,91,ST,740K,97,88,80,92,36,77,5,4,H/L,Right,"2,133"

Joao Cancelo,Manchester City,ENG 1,headliner,90,RB,260K,89,77,88,89,86,79,4,4,H/M,Right,"2,325"

Luis Hernandez,Icons,ICO,icon,90,ST,539K,92,88,74,89,48,70,4,3,H/M,Right,"2,162"

Nemanja Vidic,Icons,ICO,icon,90,CB,750K,78,50,62,64,93,91,2,3,M/H,Right,"1,981"

Roy Keane,Icons,ICO,icon,90,CM,310K,72,71,85,81,87,89,2,3,M/H,Right,"2,235"

Jay-Jay Okocha,Icons,ICO,icon,90,CAM,565K,87,83,84,94,40,60,5,4,M/L,Right,"2,093"

Frank Rijkaard,Icons,ICO,icon,90,CDM,498K,77,76,83,80,90,87,3,4,M/M,Right,"2,226"

Jari Litmanen,Icons,ICO,icon,90,CAM,175K,82,89,84,84,36,64,3,4,M/M,Right,"2,051"

Hernan Crespo,Icons,ICO,icon,90,ST,620K,89,90,72,89,38,73,4,4,M/L,Right,"2,087"

Henrik Larsson,Icons,ICO,icon,90,ST,530K,90,89,76,85,48,73,3,4,H/H,Right,"2,190"

Rio Ferdinand,Icons,ICO,icon,90,CB,1.2M,83,49,67,65,91,86,3,3,M/M,Right,"1,959"

Davor Suker,Icons,ICO,icon,90,ST,450K,85,91,82,91,45,77,4,4,H/M,Left,"2,213"

Deco,Icons,ICO,icon,90,CM,209K,83,79,91,90,51,70,4,3,H/M,Right,"2,146"

Juan Sebastian Veron,Icons,ICO,icon,90,CM,340K,76,85,90,85,77,85,3,4,M/M,Right,"2,319"

Emmanuel Petit,Icons,ICO,icon,90,CDM,675K,77,79,82,78,87,89,3,3,H/H,Left,"2,269"

Raheem Sterling,Manchester City,ENG 1,winterwildcard,90,RW,399K,94,85,82,90,47,70,4,4,H/M,Right,"2,133"

Luka Modric,Real Madrid,ESP 1,winterwildcard,90,CM,724K,85,80,92,91,84,72,4,4,M/M,Right,"2,368"

Rui Costa,Icons,ICO,icon,90,CAM,328K,86,81,88,88,44,79,4,4,M/M,Right,"2,175"

Marc Overmars,Icons,ICO,icon,90,LM,357K,95,82,81,89,47,67,3,5,H/M,Left,"2,102"

Michael Essien,Icons,ICO,icon,90,CDM,1.3M,85,76,81,82,90,90,3,4,H/H,Right,"2,292"

Claude Makelele,Icons,ICO,icon,90,CDM,706K,80,50,79,80,88,88,3,3,L/H,Right,"2,054"

Christian Vieri,Icons,ICO,icon,90,ST,140K,83,91,74,83,40,84,3,4,M/M,Left,"2,078"

Filippo Inzaghi,Icons,ICO,icon,90,ST,107K,79,91,69,83,36,65,3,3,M/L,Right,"2,022"

Gianfranco Zola,Icons,ICO,icon,90,CF,520K,86,91,88,91,43,63,4,4,H/M,Right,"2,149"

Frank Lampard,Icons,ICO,icon,90,CM,316K,74,90,88,84,73,81,3,4,H/M,Right,"2,273"

Pep Guardiola,Icons,ICO,icon,90,CDM,375K,78,65,88,81,88,83,3,3,M/H,Right,"2,233"

Paul Pogba,Manchester United,ENG 1,winterwildcard,90,CM,950K,82,84,89,90,80,86,5,4,H/M,Right,"2,386"

Thibaut Courtois,Real Madrid,ESP 1,goldif,90,GK,65K,86,90,75,89,47,88,1,3,M/M,Left,908

Bruno Fernandes,Manchester United,ENG 1,totgsucl,90,CAM,598K,78,88,91,86,73,80,4,3,H/H,Right,"2,346"

Niklas Sule,Bayern München,GER 1,showdown1,90,CB,,85,48,67,68,89,88,2,3,M/M,Right,"1,899"

Gianluigi Donnarumma,Paris Saint-Germain,FRA 1,totgsucl,90,GK,161K,92,85,81,91,53,87,1,3,M/M,Right,951

Virgil van Dijk,Liverpool,ENG 1,goldif,90,CB,351K,80,61,72,73,92,86,2,3,M/M,Right,"2,080"

Angel Di Maria,Paris Saint-Germain,FRA 1,adidas,90,RW,300K,95,84,89,90,51,73,5,2,H/M,Left,"2,233"

Luis Suarez,Atlético de Madrid,ESP 1,rulebreakers,90,ST,340K,90,87,86,87,49,86,3,4,H/M,Right,"2,251"

Erling Haaland,Borussia Dortmund,GER 1,rulebreakers,90,ST,500K,91,87,90,84,46,91,3,3,H/H,Left,"2,237"

Casemiro,Real Madrid,ESP 1,rulebreakers,90,CDM,48K,70,86,78,76,87,86,2,3,H/H,Right,"2,273"

Timo Werner,Chelsea,ENG 1,ucllive,90,ST,710K,96,87,81,88,41,80,3,4,H/M,Right,"2,178"

Bernardo Silva,Manchester City,ENG 1,ucllive,90,CAM,,83,84,88,94,58,73,4,3,H/H,Left,"2,215"

Andrew Robertson,Liverpool,ENG 1,ucllive,90,LB,298K,89,66,87,85,86,83,3,2,H/H,Left,"2,238"

Leroy Sane,Bayern München,GER 1,ucllive,90,RM,228K,95,87,86,91,44,81,4,2,M/L,Left,"2,227"

Marquinhos,Paris Saint-Germain,FRA 1,ucllive,90,CB,720K,84,56,79,79,92,84,3,3,M/H,Right,"2,127"

Heung Min Son,Tottenham Hotspur,ENG 1,eclive,90,LM,300K,90,88,83,87,44,71,4,5,H/H,Right,"2,123"

Sadio Mane,Liverpool,ENG 1,goldif,90,CAM,322K,92,84,82,90,45,79,4,4,H/M,Right,"2,174"

Heung Min Son,Tottenham Hotspur,ENG 1,goldif,90,LM,195K,89,88,84,87,44,71,4,5,H/H,Right,"2,127"

Karim Benzema,Real Madrid,ESP 1,goldif,90,CF,50K,77,87,83,88,40,79,4,4,M/M,Right,"2,113"

Joshua Kimmich,Bayern München,GER 1,goldif,90,CDM,53K,72,75,87,85,84,80,3,4,H/M,Right,"2,258"

Mohamed Salah,Liverpool,ENG 1,goldif,90,RW,315K,91,89,82,91,46,77,4,3,H/M,Left,"2,187"

Carlos Alberto Torres,Icons,ICO,icon,90,RB,460K,90,63,80,83,87,84,3,4,H/M,Right,"2,182"

Emilio Butragueno,Icons,ICO,icon,90,ST,795K,92,88,81,91,42,70,3,5,M/L,Right,"2,155"

Peter Schmeichel,Icons,ICO,icon,90,GK,265K,89,84,85,93,50,86,1,3,M/M,Right,"1,168"

Alessandro Del Piero,Icons,ICO,icon,90,CF,500K,85,90,85,92,42,69,4,5,M/M,Right,"2,145"

Garrincha,Icons,ICO,icon,90,RW,709K,90,83,88,93,41,67,5,4,M/L,Right,"2,137"

Ruud van Nistelrooy,Icons,ICO,icon,90,ST,123K,82,88,72,82,38,80,3,3,H/L,Right,"2,040"

Puyol,Icons,ICO,icon,90,CB,200K,72,45,66,58,93,91,2,3,M/H,Right,"1,923"

Alessandro Nesta,Icons,ICO,icon,90,CB,154K,71,41,62,66,91,85,2,3,M/H,Right,"1,828"

Andrea Pirlo,Icons,ICO,icon,90,CM,265K,75,79,93,90,68,65,5,4,M/M,Right,"2,217"

Luis Figo,Icons,ICO,icon,90,RW,404K,90,86,88,91,40,78,4,4,M/M,Right,"2,158"

Samuel Eto'o,Icons,ICO,icon,90,ST,1.1M,91,91,82,88,53,81,4,4,H/M,Right,"2,258"

Rivaldo,Icons,ICO,icon,90,CF,340K,85,90,87,90,43,77,4,2,M/L,Left,"2,200"

George Best,Icons,ICO,icon,90,RW,698K,90,90,83,93,57,70,4,4,M/L,Right,"2,254"

Eric Cantona,Icons,ICO,icon,90,CF,1.2M,85,90,89,91,54,90,5,4,H/M,Right,"2,346"

Ruud Gullit,Icons,ICO,icon,90,CM,3.4M,88,88,88,87,80,87,4,5,H/M,Right,"2,400"

Dennis Bergkamp,Icons,ICO,icon,90,CAM,310K,85,89,83,88,35,73,4,4,H/M,Right,"2,098"

Thierry Henry,Icons,ICO,icon,90,LW,670K,90,88,85,87,51,77,4,4,M/M,Right,"2,191"

Kenny Dalglish,Icons,ICO,icon,90,CF,729K,87,90,79,89,42,71,4,5,H/M,Right,"2,160"

Xavi,Icons,ICO,icon,90,CM,292K,77,74,93,92,66,68,4,3,M/M,Right,"2,192"

Hristo Stoichkov,Icons,ICO,icon,90,LW,494K,90,90,87,90,48,84,4,3,M/M,Left,"2,270"

Ronaldo Nazario,Icons,ICO,icon,90,ST,1.6M,94,90,77,91,42,72,4,4,M/M,Right,"2,113"

Marc-Andre ter Stegen,FC Barcelona,ESP 1,gold,90,GK,35.5K,88,85,88,90,43,88,1,4,M/M,Right,"1,005"

Manuel Neuer,Bayern München,GER 1,gold,90,GK,36K,88,88,91,88,56,89,1,4,M/M,Right,"1,090"

N'Golo Kante,Chelsea,ENG 1,gold,90,CDM,151K,78,66,75,82,87,83,2,3,M/H,Right,"2,125"

Harry Kane,Tottenham Hotspur,ENG 1,gold,90,ST,34.8K,70,91,83,83,47,83,3,5,H/H,Right,"2,151"

Cafu,Icons,ICO,icon,90,RB,619K,90,57,85,87,88,84,4,3,H/M,Right,"2,228"

Romelu Lukaku,Chelsea,ENG 1,otw,90,ST,277K,87,90,77,81,41,85,3,4,M/M,Left,"2,086"

Pierre-Emerick Aubameyang,Arsenal,ENG 1,moments,89,ST,,95,88,82,86,38,75,4,4,M/L,Right,"2,162"

Kalidou Koulibaly,Napoli,ITA 1,headliner,89,CB,203K,84,31,55,69,90,89,2,3,M/H,Right,"1,756"

Christopher Nkunku,RB Leipzig,GER 1,headliner,89,CAM,520K,87,84,90,92,78,78,4,3,M/M,Right,"2,341"

Romelu Lukaku,Chelsea,ENG 1,goldif,89,ST,50K,85,88,76,80,40,84,3,4,M/M,Left,"2,049"

Gennaro Gattuso,Icons,ICO,icon,89,CDM,250K,73,65,72,73,91,89,2,3,M/H,Right,"2,087"

John Barnes,Icons,ICO,icon,89,LW,410K,90,87,85,91,45,85,4,4,H/M,Left,"2,188"

Ashley Cole,Icons,ICO,icon,89,LB,423K,89,67,83,83,88,80,3,2,H/M,Left,"2,269"

Gianluca Zambrotta,Icons,ICO,icon,89,RB,559K,90,72,84,85,88,86,4,5,H/M,Right,"2,309"

Ian Wright,Icons,ICO,icon,89,ST,245K,89,90,70,82,41,77,3,4,M/M,Right,"2,066"

Sol Campbell,Icons,ICO,icon,89,CB,435K,80,45,60,54,90,90,2,3,L/M,Right,"1,807"

Fabinho,Liverpool,ENG 1,winterwildcard,89,CF,468K,87,87,86,90,65,85,4,4,H/M,Right,"2,306"

Kingsley Coman,Bayern München,GER 1,winterwildcard,89,ST,583K,96,85,82,91,33,69,4,4,H/M,Left,"2,109"

Trent Alexander-Arnold,Liverpool,ENG 1,potmpl,89,RB,,83,70,90,82,86,74,3,4,H/M,Right,"2,250"

Raheem Sterling,Manchester City,ENG 1,goldif,89,RW,112K,92,83,81,88,46,68,4,3,H/M,Right,"2,088"

Gabriel Jesus,Manchester City,ENG 1,ice,89,ST,472K,89,91,81,91,45,81,4,4,H/M,Right,"2,226"

Gabriel Jesus,Manchester City,ENG 1,fire,89,ST,700K,93,87,81,91,45,81,5,3,H/M,Right,"2,211"

Trent Alexander-Arnold,Liverpool,ENG 1,totgsucl,89,RB,65K,84,70,90,82,85,74,3,4,H/M,Right,"2,247"

Marquinhos,Paris Saint-Germain,FRA 1,totgsucl,89,CB,490K,83,57,78,77,91,84,3,3,M/H,Right,"2,108"

Joao Cancelo,Manchester City,ENG 1,totgsucl,89,LB,150K,88,75,87,88,85,77,4,4,H/M,Right,"2,288"

Ruben Dias,Manchester City,ENG 1,signature,89,CB,317K,76,40,70,72,90,90,2,4,M/H,Right,"1,959"

Toni Kroos,Real Madrid,ESP 1,goldif,89,CM,42K,55,82,92,82,72,70,3,5,M/M,Right,"2,130"

Mats Hummels,Borussia Dortmund,GER 1,adidas,89,CB,32.5K,61,61,92,75,91,79,3,3,H/H,Right,"2,136"

Joao Felix,Atlético de Madrid,ESP 1,adidas,89,CF,565K,95,85,82,91,44,74,5,4,M/M,Right,"2,166"

Marco Verratti,Paris Saint-Germain,FRA 1,rulebreakers,89,CM,,72,63,81,93,81,88,4,4,M/H,Right,"2,231"

Trent Alexander-Arnold,Liverpool,ENG 1,rulebreakers,89,RB,84K,90,70,83,84,83,76,3,4,H/M,Right,"2,233"

Ciro Immobile,Latium,ITA 1,europalive,89,ST,95K,88,89,73,83,41,79,3,4,H/M,Right,"2,096"

Frenkie de Jong,FC Barcelona,ESP 1,ucllive,89,CM,381K,85,72,87,90,81,81,4,3,H/M,Right,"2,259"

