,Player,Team,League,Version,OVR,POS,PAC,SHO,PAS,DRI,DEF,PHY,S/M,W/F,W/Rs,Foot,Stats,tots,special cards,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup,Team position,Team Goals for,Team Goals against,League-label,Pos-label
165,Virgil van Dijk,Liverpool,ENG 1,gold,89,Defender,78,60,71,72,91,84,2,3,M/M,Right,"2,046",0,2,18,1620,1,0.9992047306150198,1,0.851976003497839,18,6,2,0,1,0.9992047306150198,11.368367929011583,11.35641760006547,3,52,18,1,2
163,Sadio Mane,Liverpool,ENG 1,gold,89,Attacker,91,83,80,89,44,77,4,4,H/M,Right,"2,136",0,1,20,1713,8,10.503094624727964,1,3.385883605107665,61,20,2,0,8,10.503094624727964,18.285370528697968,7.227718977257609,3,52,18,1,1
187,Casemiro,Real Madrid,ESP 1,gold,89,Midfielder,65,73,76,73,86,90,2,3,H/H,Right,"2,152",0,1,18,1517,0,0.5562297394499183,3,2.6705636270344257,19,16,6,0,0,0.5562297394499183,11.163688518106936,9.183627396821976,1,45,18,2,4
188,Thibaut Courtois,Real Madrid,ESP 1,gold,89,GK,84,89,74,88,46,86,1,3,M/M,Left,906,0,1,20,1800,0,0.0,0,0.0,0,0,1,0,0,0.0,4.329216865357012,4.329216865357012,1,45,18,2,3
2,Gianluigi Donnarumma,Paris Saint-Germain,FRA 1,gold,89,GK,91,83,79,90,52,85,1,3,M/M,Right,949,0,1,8,720,0,0.0,0,0.0,0,0,1,0,0,0.0,1.9505523834377527,1.9505523834377527,1,40,18,3,3
51,Luis Suarez,Atlético de Madrid,ESP 1,gold,88,Attacker,72,90,82,84,47,83,3,4,H/M,Right,"2,154",0,2,19,1140,7,6.860145410522819,1,1.127608004026115,30,9,5,0,6,6.116867741569877,7.865501240827143,1.84108891710639,4,33,24,2,1
189,Toni Kroos,Real Madrid,ESP 1,gold,88,Midfielder,53,81,91,81,71,68,3,5,M/M,Right,"2,097",0,1,13,1112,1,1.663635790348053,3,3.2445797752588987,31,31,2,0,1,1.663635790348053,9.630401581525804,7.111264318227768,1,45,18,2,4
211,Erling Haaland,Borussia Dortmund,GER 1,gold,88,Attacker,89,91,65,80,45,88,3,3,H/H,Left,"2,050",0,1,11,904,13,8.835439022630453,4,3.067877884954214,45,11,1,0,10,6.562189396470785,9.58803828433156,0.6989131309092045,2,44,28,4,1
3,Keylor Navas,Paris Saint-Germain,FRA 1,gold,88,GK,89,84,75,89,54,87,1,3,M/M,Right,"1,004",0,1,11,967,0,0.0,0,0.0,0,0,0,1,0,0.0,3.3466246351599693,3.3466246351599693,1,40,18,3,3
72,Raheem Sterling,Manchester City,ENG 1,gold,88,Attacker,91,82,79,87,45,66,4,3,H/M,Right,"2,050",0,2,17,1080,7,7.789860920980573,1,2.977238528430462,34,23,0,0,5,6.267523230984807,11.338193029165268,4.70439038425684,1,53,13,1,1
235,Romelu Lukaku,Chelsea,ENG 1,gold,88,Attacker,84,87,74,78,39,83,3,4,M/M,Left,"2,010",0,2,13,817,5,4.09465790912509,0,2.2202360071241856,22,14,0,0,5,4.09465790912509,7.701297268271446,2.825027506798506,2,45,16,1,1
4,Sergio Ramos,Paris Saint-Germain,FRA 1,gold,88,Defender,70,70,76,74,88,84,3,3,H/M,Right,"2,205",0,1,2,130,0,0.0,0,0.0,0,0,0,1,0,0.0,2.031599432229996,2.031599432229996,1,40,18,3,2
93,Bruno Fernandes,Manchester United,ENG 1,gold,88,Midfielder,75,86,89,84,70,77,4,3,H/H,Right,"2,278",0,1,18,1516,5,3.4035466108471155,3,4.70817678514868,39,47,5,0,5,2.6423777732998133,11.58740907907486,6.143256202340126,7,30,27,1,4
281,Wojciech Szczesny,Juventus,ITA 1,gold,87,GK,86,82,73,88,49,87,1,3,M/M,Right,901,0,1,17,1530,0,0.0,0,0.0733300819993019,0,1,2,0,0,0.0,2.2105916552245617,2.137261569499969,5,32,21,5,3
73,Ruben Dias,Manchester City,ENG 1,gold,87,Defender,61,38,65,68,88,88,2,4,M/H,Right,"1,839",0,1,20,1683,2,1.5516493255272508,2,1.8409145921468733,12,11,4,0,2,1.5516493255272508,11.604540936648846,10.782016798853874,1,53,13,1,2
282,Paulo Dybala,Juventus,ITA 1,gold,87,Attacker,84,86,86,90,40,60,4,3,M/M,Left,"2,108",0,0,14,967,5,4.857013674452901,3,3.511724688112736,55,24,2,0,4,3.334415951743722,7.934522356837988,2.859662797302008,5,32,21,5,1
167,Andrew Robertson,Liverpool,ENG 1,gold,87,Defender,84,61,80,81,82,76,3,2,H/H,Left,"2,092",0,1,14,1225,1,0.9925750056281686,5,3.1358386613428597,5,25,4,1,1,0.9925750056281686,9.92839752137661,8.238307766616344,3,52,18,1,2
258,Ciro Immobile,Latium,ITA 1,gold,87,Attacker,86,87,67,81,39,77,3,4,H/M,Right,"2,018",0,2,16,1381,14,11.18331191316247,2,1.497091956436634,58,13,2,0,11,7.376817923039198,10.192860819399357,2.585032682865858,8,43,39,5,1
236,N'Golo Kante,Chelsea,ENG 1,flashback,87,Midfielder,82,66,73,83,82,77,2,3,H/H,Right,"2,088",0,3,12,770,2,0.8508283514529467,1,1.0240569952875376,8,7,1,0,2,0.8508283514529467,5.300368707627058,3.4746343307197094,2,45,16,1,4
168,Trent Alexander-Arnold,Liverpool,ENG 1,gold,87,Defender,79,68,88,80,80,72,3,4,H/M,Right,"2,171",0,3,18,1596,2,1.332723006606102,9,8.124866508878767,30,55,1,0,2,1.332723006606102,14.21240584552288,7.654883593320847,3,52,18,1,2
95,Paul Pogba,Manchester United,ENG 1,gold,87,Midfielder,71,81,86,86,65,83,5,4,H/M,Right,"2,202",0,1,9,635,0,1.5863405540585518,7,1.599287511780858,21,15,4,1,0,1.5863405540585518,3.2818631529808044,1.7539983205497265,7,30,27,1,4
117,Sergio Aguero,FC Barcelona,ESP 1,gold,87,Attacker,71,89,75,87,33,69,4,4,H/M,Right,"2,009",0,0,4,148,1,1.1555328257381916,0,0.3280631303787231,6,1,0,0,1,1.1555328257381916,1.499554980546236,0.0159590113908052,6,31,23,2,1
118,Frenkie de Jong,FC Barcelona,ESP 1,gold,87,Midfielder,81,69,85,88,77,78,4,3,H/M,Right,"2,180",0,2,16,1308,1,1.8829628266394136,2,2.1724352408200502,6,23,2,1,1,1.8829628266394136,9.747109655290842,6.558188159018755,6,31,23,2,4
143,Hugo Lloris,Tottenham Hotspur,ENG 1,gold,87,GK,88,83,65,90,61,84,1,1,M/M,Left,962,0,0,18,1620,0,0.0,0,0.2063242979347705,0,2,0,0,0,0.0,1.102946838364005,0.8966225367039442,6,23,20,1,3
94,Jadon Sancho,Manchester United,ENG 1,gold,87,Midfielder,81,76,82,91,36,65,5,3,H/M,Right,"1,955",0,1,16,924,1,1.2880357056856155,0,1.3166878279298544,8,21,0,0,1,1.2880357056856155,4.7497017458081245,2.2152603790163994,7,30,27,1,4
190,Luka Modric,Real Madrid,ESP 1,gold,87,Midfielder,73,76,89,88,72,66,4,4,M/M,Right,"2,201",0,1,13,1049,0,0.7586777731776237,4,3.237925697118044,13,17,1,0,0,0.7586777731776237,7.533233888447285,4.8691794462502,1,45,18,2,4
6,Angel Di Maria,Paris Saint-Germain,FRA 1,gold,87,Attacker,83,81,86,87,48,69,5,2,H/M,Left,"2,126",0,1,13,965,3,3.7195390947163114,3,3.664205569773912,29,28,2,0,3,3.7195390947163114,9.029717091470957,3.588658168911934,1,40,18,3,1
7,Marco Verratti,Paris Saint-Germain,FRA 1,gold,87,Midfielder,64,61,87,91,79,67,4,4,M/H,Right,"2,138",0,1,9,648,0,0.0525832064449787,0,0.4643657561391592,1,8,6,0,0,0.0525832064449787,4.837729100137949,4.706916470080614,1,40,18,3,4
31,Leon Goretzka,Bayern München,GER 1,gold,87,Midfielder,81,82,82,84,81,86,3,4,H/M,Right,"2,258",0,1,12,907,2,2.817202625796199,2,2.604088985361159,30,20,0,0,2,2.817202625796199,10.240828081965446,6.337642803788185,1,57,18,4,4
5,Marquinhos,Paris Saint-Germain,FRA 1,gold,87,Defender,81,53,75,74,89,81,3,3,M/H,Right,"2,027",0,3,14,1260,3,1.716219037771225,0,0.2585387071594596,9,4,2,0,3,1.716219037771225,8.182716067880392,7.015078123658896,1,40,18,3,2
33,Kingsley Coman,Bayern München,GER 1,gold,86,Midfielder,93,76,79,88,30,60,4,3,M/M,Right,"1,953",0,2,10,518,4,3.3091039545834064,0,0.7448850087821484,25,7,0,0,4,3.3091039545834064,6.403435572981834,2.7370207458734512,1,57,18,4,4
8,Kylian Mbappe,Paris Saint-Germain,FRA 1,nextgen,86,Attacker,90,78,74,84,31,68,4,3,H/L,Right,"1,925",0,4,17,1439,10,11.367805439978838,8,6.069821160286665,62,33,4,0,8,9.847615208476782,17.810063242912292,5.213469546288252,1,40,18,3,1
96,Raphael Varane,Manchester United,ENG 1,gold,86,Defender,82,49,64,65,87,82,2,3,M/H,Right,"1,881",0,1,9,742,0,0.3987354338169098,1,0.1130264326930046,5,2,0,0,0,0.3987354338169098,1.0350214280188084,0.977879986166954,7,30,27,1,2
32,Thomas Muller,Bayern München,GER 1,flashback,86,Midfielder,90,83,81,89,52,72,3,4,H/H,Right,"2,160",0,2,17,1416,5,3.78137930855155,13,9.062356647104025,23,54,0,0,5,3.78137930855155,18.431311815977097,7.819081589579582,1,57,18,4,4
191,Karim Benzema,Real Madrid,ESP 1,flashback,86,Attacker,89,85,77,90,60,78,4,4,H/L,Right,"2,213",0,4,19,1570,15,10.197450213134289,7,3.6347861662507057,67,36,0,0,14,9.454300574958324,14.805143926292658,4.196054772939533,1,45,18,2,1
391,Gerard Moreno,Villarreal CF,ESP 1,gold,86,Attacker,79,86,77,84,46,73,3,4,H/M,Left,"2,062",0,1,10,772,8,6.451797515153885,1,2.932073835283518,29,19,2,0,7,5.708647802472115,8.178034447133541,2.221310567110777,8,33,22,2,1
392,Parejo,Villarreal CF,ESP 1,gold,86,Midfielder,50,83,90,81,71,69,3,4,M/M,Right,"2,119",0,1,15,1222,0,0.4512868393212557,6,4.023264806717634,9,32,1,0,0,0.4512868393212557,8.924258343875408,7.381629437208176,8,33,22,2,4
74,Rodri,Manchester City,ENG 1,gold,86,Midfielder,61,70,77,78,82,82,3,4,M/H,Right,"2,049",0,1,17,1478,3,0.9597879350185394,1,0.8337694890797138,17,15,5,0,3,0.9597879350185394,14.26294219493866,13.064225733280182,1,53,13,1,4
75,Aymeric Laporte,Manchester City,ENG 1,gold,86,Defender,63,50,72,69,86,80,2,3,M/M,Left,"1,931",0,1,17,1461,2,2.281582918018102,0,0.2471596281975507,24,4,5,1,2,2.281582918018102,10.85653778538108,10.654909832403064,1,53,13,1,2
76,Bernardo Silva,Manchester City,ENG 1,gold,86,Midfielder,80,76,83,91,54,67,4,3,H/H,Left,"2,074",0,2,20,1714,7,5.307072073221207,1,4.626493373885751,26,31,5,0,7,5.307072073221207,17.240236207842827,9.038797039538622,1,53,13,1,4
77,Riyad Mahrez,Manchester City,ENG 1,gold,86,Attacker,81,79,81,90,38,60,5,4,M/M,Left,"1,978",0,2,16,823,6,5.302895089611411,4,3.1927004428580403,33,27,0,0,4,3.780557347461581,9.497826043516396,3.99832377396524,1,53,13,1,1
78,Joao Cancelo,Manchester City,ENG 1,gold,86,Defender,85,71,83,84,80,72,4,4,H/M,Right,"2,169",0,3,20,1793,1,2.248451730236411,4,3.4234548714011908,43,22,5,0,1,2.248451730236411,14.914519302546978,12.71732883900404,1,53,13,1,2
346,Lorenzo Insigne,Napoli,ITA 1,gold,86,Attacker,87,78,85,90,36,45,4,4,H/M,Right,"1,971",0,1,16,1218,4,8.505002386868,5,3.767165903002024,56,37,0,0,0,3.17599043995142,8.707408994436264,3.7917641550302505,3,37,15,5,1
169,Thiago,Liverpool,ENG 1,gold,86,Midfielder,63,72,86,90,70,66,5,3,M/M,Right,"2,153",0,0,11,675,1,1.2799651063978672,1,1.0671678818762302,16,12,1,0,1,1.2799651063978672,5.4239059165120125,4.306702175177634,3,52,18,1,4
345,Kalidou Koulibaly,Napoli,ITA 1,gold,86,Defender,81,28,51,65,87,85,2,3,M/H,Right,"1,662",0,2,14,1241,2,1.2624653112143278,2,0.8375662993639708,6,4,2,1,2,1.2624653112143278,3.775249376893044,3.594232777133584,3,37,15,5,2
170,Fabinho,Liverpool,ENG 1,gold,86,Midfielder,67,69,78,78,85,83,3,2,M/H,Right,"2,116",0,1,14,1170,1,0.7260558344423771,1,0.6578579656779766,8,9,4,0,1,0.7260558344423771,6.350954046472907,5.97589729167521,3,52,18,1,4
304,Jason Berthomier,Clermont Foot,FRA 1,rare98,86,Midfielder,86,85,87,87,60,74,4,4,H/L,Left,"2,277",0,0,16,1084,1,1.3534407243132591,3,2.5162714552134275,15,33,0,0,1,1.3534407243132591,6.281842799857259,4.170942174270749,15,20,32,3,4
120,Jordi Alba,FC Barcelona,ESP 1,gold,86,Defender,86,69,81,83,77,71,3,3,H/M,Left,"2,155",0,0,13,1155,0,0.574805305339396,4,2.777398820966482,14,24,3,0,0,0.574805305339396,10.202149108052254,8.455962777137756,6,31,23,2,2
119,Sergio Busquets,FC Barcelona,ESP 1,gold,86,Midfielder,42,62,79,80,82,75,3,3,M/M,Right,"1,964",0,0,18,1593,1,0.1911029629409313,0,0.6365994159132242,6,16,5,0,1,0.1911029629409313,9.579588763415812,9.088943600654602,6,31,23,2,4
212,Mats Hummels,Borussia Dortmund,GER 1,gold,86,Defender,56,59,77,73,89,77,3,3,H/H,Right,"2,001",0,1,14,1045,1,0.5033142529428005,1,0.0605629794299602,7,1,3,0,1,0.5033142529428005,4.5336425974965096,4.496245630085468,2,44,28,4,2
413,Samir Handanovic,Inter,ITA 1,gold,86,GK,81,81,65,87,47,92,1,3,M/M,Right,883,0,0,19,1710,0,0.0,0,0.0,0,0,1,0,0,0.0,3.906079109758138,3.906079109758138,1,51,16,5,3
368,Koen Casteels,VfL Wolfsburg,GER 1,gold,86,GK,85,83,80,87,45,84,1,2,M/M,Left,890,0,0,15,1350,0,0.0,0,0.0,0,0,0,0,0,0.0,0.5611809026449919,0.5611809026449919,14,17,30,4,3
414,Milan Skriniar,Inter,ITA 1,gold,86,Defender,80,41,53,69,87,84,2,4,M/H,Right,"1,774",0,1,17,1530,2,1.9571373853832483,0,0.506808303296566,15,4,1,0,2,1.9571373853832483,8.793726939707994,8.622783783823252,1,51,16,5,2
323,Jamie Vardy,Leicester City,ENG 1,gold,86,Attacker,85,84,70,80,52,73,3,4,H/M,Right,"2,073",0,0,16,1325,9,6.063936270773411,1,1.183594960719347,36,14,2,0,9,6.063936270773411,7.677956260740757,1.25945988856256,10,31,33,1,1
52,Marcos Llorente,Atlético de Madrid,ESP 1,gold,86,Midfielder,88,80,81,82,78,82,3,4,H/M,Right,"2,201",0,1,13,1089,0,0.2803445728495717,1,1.3337838426232338,7,14,1,0,0,0.2803445728495717,4.694054434075952,3.5101112574338917,4,33,24,2,4
283,Giorgio Chiellini,Juventus,ITA 1,flashback,85,Defender,80,47,72,66,86,86,2,3,M/H,Left,"1,959",0,1,10,767,0,0.0200874432921409,0,0.046275807544589,1,2,2,0,0,0.0200874432921409,1.8170910477638245,1.8170910477638245,5,32,21,5,2
505,Oyarzabal,Real Sociedad,ESP 1,gold,85,Attacker,82,82,81,84,41,63,3,3,H/M,Left,"2,006",0,1,13,1005,6,6.169513493776321,1,1.5709614045917988,28,20,0,1,4,3.939680635929108,5.664488740265369,1.1308880522847176,5,22,21,2,1
504,David Silva,Real Sociedad,ESP 1,gold,85,Midfielder,63,74,87,87,52,53,4,2,H/M,Left,"1,997",0,1,11,805,0,0.5950178615748882,1,0.8724104631692171,10,9,1,0,0,0.5950178615748882,3.28456249833107,2.25837840884924,5,22,21,2,4
481,Yann Sommer,Borussia Mgladbach,GER 1,gold,85,GK,79,81,84,86,50,86,1,4,M/M,Right,940,0,2,17,1530,0,0.0,1,0.4003767669200897,0,1,1,0,0,0.0,1.752610243856907,1.3522335067391396,12,24,33,4,3
171,Roberto Firmino,Liverpool,ENG 1,gold,85,Attacker,77,78,79,89,59,78,5,4,H/H,Right,"2,136",0,1,11,429,4,3.6510005965828896,2,0.8183626551181078,13,9,0,0,4,3.6510005965828896,7.0211982652544975,2.8561748638749123,3,52,18,1,1
324,Kasper Schmeichel,Leicester City,ENG 1,gold,85,GK,84,78,80,90,47,83,1,3,M/M,Right,943,0,1,18,1620,0,0.0,0,0.0,0,0,1,0,0,0.0,2.369050368666649,2.369050368666649,10,31,33,1,3
325,Wilfred Ndidi,Leicester City,ENG 1,gold,85,Midfielder,67,62,69,74,87,83,3,4,M/H,Right,"2,059",0,0,13,1170,0,0.4169575553387403,0,0.0464392937719821,10,1,3,0,0,0.4169575553387403,3.5744842952117324,3.3081367360427976,10,31,33,1,4
259,Sergej Milinkovic-Savic,Latium,ITA 1,gold,85,Midfielder,68,79,80,81,79,86,4,5,H/M,Right,"2,180",0,2,19,1512,7,3.879272559657693,7,3.4224935956299305,41,28,3,1,7,3.879272559657693,7.759404333308339,4.511922573670745,8,43,39,5,4
285,Leonardo Bonucci,Juventus,ITA 1,gold,85,Defender,64,58,69,72,86,80,2,4,M/H,Right,"1,962",0,1,15,1350,3,4.058928294107318,1,0.6809182483702898,12,9,1,0,0,1.7750318180769682,4.58693465590477,4.19714979454875,5,32,21,5,2
97,Edinson Cavani,Manchester United,ENG 1,gold,85,Attacker,66,86,70,76,51,79,3,4,H/H,Right,"2,040",0,0,8,423,2,2.69224539026618,0,0.1224484499543905,14,2,0,0,2,2.69224539026618,2.571402480825782,0.4673519665375352,7,30,27,1,1
98,Marcus Rashford,Manchester United,ENG 1,gold,85,Midfielder,90,84,79,84,43,77,5,3,H/M,Right,"2,093",0,2,11,608,2,1.303605742752552,1,1.3154741376638412,12,6,1,0,2,1.303605742752552,3.829890387132764,1.4412723053246737,7,30,27,1,4
284,Matthijs de Ligt,Juventus,ITA 1,gold,85,Defender,73,59,60,69,84,87,2,3,M/H,Right,"1,919",0,1,16,1383,1,1.5506594283506274,0,1.198918342590332,13,7,0,0,1,1.5506594283506274,5.525416076183319,4.936540253460407,5,32,21,5,2
460,Peter Gulacsi,RB Leipzig,GER 1,gold,85,GK,85,84,76,86,43,82,1,2,M/M,Right,890,0,1,16,1440,0,0.0,0,0.0,0,0,1,0,0,0.0,3.501233048737049,3.501233048737049,9,34,23,4,3
121,Memphis Depay,FC Barcelona,ESP 1,gold,85,Attacker,82,83,82,84,30,79,5,3,H/L,Right,"2,031",0,2,15,1350,8,9.03060613758862,2,3.852882083505392,43,35,1,0,5,6.057495651766658,11.199097573757172,3.835233338177204,6,31,23,2,1
415,Stefan de Vrij,Inter,ITA 1,gold,85,Defender,72,41,64,70,87,79,2,4,M/H,Right,"1,811",0,0,14,1227,0,0.7236346155405045,0,0.0,8,0,1,0,0,0.7236346155405045,7.108970835804939,7.05366538465023,1,51,16,5,2
192,Eden Hazard,Real Madrid,ESP 1,gold,85,Attacker,84,80,82,88,35,63,4,4,M/M,Right,"2,010",0,1,13,571,0,1.2735956590622663,1,1.390213901177049,12,21,1,0,0,1.2735956590622663,3.793651178479194,1.518054235726595,1,45,18,2,1
237,Jorginho,Chelsea,ENG 1,gold,85,Midfielder,55,67,86,81,73,73,3,3,M/M,Right,"2,077",0,0,18,1373,6,5.058969281613827,1,2.0911897979676723,12,14,3,0,0,0.4919562339782715,10.26681286841631,9.529445596039295,2,45,16,1,4
238,Thiago Silva,Chelsea,ENG 1,gold,85,Defender,53,54,72,72,86,78,2,3,M/H,Right,"1,977",0,1,17,1361,2,0.7682493887841702,0,0.1812903899699449,10,4,1,0,2,0.7682493887841702,10.36784014897421,10.224108756054193,2,45,16,1,2
53,Antoine Griezmann,Atlético de Madrid,ESP 1,gold,85,Attacker,80,84,84,87,52,72,4,3,M/M,Left,"2,196",0,2,16,1163,3,3.711330901831389,1,1.5072342492640018,30,16,2,0,3,3.711330901831389,7.694829756394029,3.656773917376995,4,33,24,2,1
9,Achraf Hakimi,Paris Saint-Germain,FRA 1,gold,85,Defender,95,71,78,83,76,78,3,4,H/M,Right,"2,142",0,2,18,1424,3,1.0823418870568275,3,4.19176472723484,11,21,2,1,3,1.0823418870568275,10.366806793957949,6.990339800715447,1,40,18,3,2
435,Pierre-Emerick Aubameyang,Arsenal,ENG 1,gold,85,Attacker,89,85,75,80,35,69,4,4,M/L,Right,"2,001",0,1,14,1047,4,6.893220115453005,1,0.8014161214232445,34,9,3,0,4,5.370882365852594,5.4393598940223455,0.963660548441112,4,33,25,1,1
193,Carvajal,Real Madrid,ESP 1,gold,85,Defender,80,54,78,80,81,80,3,3,H/M,Right,"2,059",0,0,12,765,1,0.5093130115419626,0,0.518127990886569,5,9,1,0,1,0.5093130115419626,5.391303345561028,4.78285314142704,1,45,18,2,2
54,Koke,Atlético de Madrid,ESP 1,gold,85,Midfielder,70,75,85,81,79,80,3,4,M/M,Right,"2,173",0,0,15,1329,0,0.5100642940960824,0,0.8685830160975456,6,13,2,0,0,0.5100642940960824,8.933294869959354,8.098747707903385,4,33,24,2,4
213,Marco Reus,Borussia Dortmund,GER 1,gold,85,Midfielder,73,84,84,85,47,63,4,4,H/M,Right,"2,065",0,1,16,1391,4,6.944651894271374,5,3.753170883283019,34,33,2,0,4,6.944651894271374,14.335260223597288,5.964813899248838,2,44,28,4,4
34,Serge Gnabry,Bayern München,GER 1,gold,85,Midfielder,83,84,79,86,43,69,4,4,H/M,Right,"2,030",0,2,17,958,9,6.841131435707212,3,4.054803874343634,34,16,0,0,9,6.841131435707212,14.29199044406414,4.717643637210131,1,57,18,4,4
79,Kyle Walker,Manchester City,ENG 1,gold,85,Defender,92,63,76,78,80,82,3,2,H/H,Right,"2,137",0,0,12,1039,0,0.1458261273801326,1,1.1534556970000267,5,5,1,0,0,0.1458261273801326,6.092598006129265,5.132697761058807,1,53,13,1,2
80,Ilkay Gundogan,Manchester City,ENG 1,gold,85,Midfielder,65,80,85,86,73,72,4,4,H/M,Right,"2,150",0,2,14,1065,4,6.1912258714437485,3,2.949210638180375,31,24,1,0,4,6.1912258714437485,12.697225008159876,4.7147685289382935,1,53,13,1,4
523,Alejandro Gomez,Sevilla FC,ESP 1,gold,85,Midfielder,87,78,84,87,39,55,4,4,H/M,Right,"2,014",0,0,14,875,2,0.8130330331623554,0,0.7129388023167849,12,9,2,0,2,0.8130330331623554,4.285376098006964,3.138751918449998,2,31,13,2,4
416,Lautaro Martinez,Inter,ITA 1,gold,85,Attacker,84,81,72,85,48,84,4,4,H/M,Right,"2,097",0,1,17,1084,11,13.032483654096724,2,1.6915444508194923,56,14,4,0,8,9.225989626720548,10.772250114008784,1.3355413787066936,1,51,16,5,1
689,Theo Hernandez,Milan,ITA 1,gold,84,Defender,93,71,76,81,77,82,3,3,H/M,Left,"2,142",0,2,16,1276,2,1.4568173624575138,5,2.680446032434702,17,20,4,1,2,1.4568173624575138,6.539014857262373,4.203268893063068,4,44,26,5,2
688,Theo Hernandez,Milan,ITA 1,gold,84,Defender,93,71,76,81,77,82,3,3,H/M,Left,"2,142",0,2,16,1276,2,1.4568173624575138,5,2.680446032434702,17,20,4,1,2,1.4568173624575138,6.539014857262373,4.203268893063068,2,46,23,5,2
172,Jordan Henderson,Liverpool,ENG 1,gold,84,Midfielder,66,74,83,79,78,81,3,3,H/H,Right,"2,149",0,1,18,1404,2,0.8708809148520231,3,2.6615447718650103,18,22,2,0,2,0.8708809148520231,10.924823727458715,7.964886341243982,3,52,18,1,4
526,Marcos Acuna,Sevilla FC,ESP 1,gold,84,Defender,76,74,82,87,79,82,4,3,H/H,Left,"2,230",0,2,16,1084,1,0.7146307472139597,3,2.109274659305811,8,25,3,0,1,0.7146307472139597,6.945529121905565,5.808145834133029,2,31,13,2,2
