Player,Team,League,Version,OVR,POS,BIN,PAC,SHO,PAS,DRI,DEF,PHY,S/M,W/F,W/Rs,Foot,Stats
Raphael Varane,Real Madrid,ESP 1,tots,97,CB,610K,95,53,76,80,97,93,2,3,M/H,Right,"2,158"
Karim Benzema,Real Madrid,ESP 1,tots,97,CF,273K,92,98,95,96,48,94,4,4,M/L,Right,"2,394"
Alisson,Liverpool,ENG 1,tots,97,GK,139K,98,92,95,96,70,96,1,3,M/M,Right,0
Mohamed Salah,Liverpool,ENG 1,tots,97,RW,678K,99,97,95,97,53,84,4,3,H/M,Left,"2,394"
Lionel Messi,FC Barcelona,ESP 1,card58,97,CAM,1.5M,92,95,95,99,44,72,4,4,M/L,Left,"2,299"
Lionel Messi,FC Barcelona,ESP 1,potmlaliga,97,RW,,92,95,95,99,43,71,4,4,M/L,Left,"2,290"
Zinedine Zidane,Icons,ICO,iconmoment,97,CAM,12.1M,87,96,97,96,76,88,5,5,M/M,Right,"2,509"
Ronaldo Nazario,Icons,ICO,iconmoment,97,ST,15M,98,97,82,98,46,82,5,5,M/M,Right,"2,320"
Robert Lewandowski,Bayern München,GER 1,headliner4,97,ST,305K,90,98,89,95,49,91,4,4,H/M,Right,"2,386"
Sadio Mane,Liverpool,ENG 1,toty,97,LW,720K,99,95,92,97,57,88,4,4,H/M,Right,"2,429"
N'Golo Kante,Chelsea,ENG 1,toty,97,CDM,1.2M,91,88,95,95,97,93,2,3,M/H,Right,"2,488"
Alisson,Liverpool,ENG 1,toty,97,GK,175K,97,92,95,97,70,95,1,3,M/M,Right,0
Diego Maradona,Icons,ICO,icon,97,CAM,1.8M,92,93,92,97,40,76,5,3,H/M,Left,"2,297"
Giorgio Chiellini,Piemonte Calcio,ITA 1,flashback,96,CB,,85,53,78,80,98,98,2,3,M/H,Left,"2,169"
Hakim Ziyech,Chelsea,ENG 1,seasonreward,96,CAM,,93,94,98,97,66,83,5,4,H/M,Left,"2,433"
Leroy Sane,Bayern München,GER 1,sbcprem,96,LM,,99,95,95,98,50,86,4,4,H/M,Left,"2,408"
Thiago,Bayern München,GER 1,award,96,CM,,89,91,96,99,83,85,5,4,M/M,Right,"2,553"
Pablo Sarabia,Paris Saint-Germain,FRA 1,ucllive,96,CAM,,93,94,98,98,73,80,4,4,H/M,Left,"2,428"
Kevin De Bruyne,Manchester City,ENG 1,gold-inform,96,CM,599K,84,94,97,94,67,86,4,5,H/H,Right,"2,396"
Aduriz,Athletic Club de Bilbao,ESP 1,sbcprem,96,ST,,93,97,87,96,63,98,3,4,H/M,Right,"2,371"
Luka Modric,Real Madrid,ESP 1,flashback,96,CM,,87,87,97,98,88,86,4,4,H/H,Right,"2,527"
Carlos Vela,Los Angeles FC,USA 1,tots,96,RW,170K,96,97,95,98,44,85,4,3,H/L,Left,"2,370"
Angel Di Maria,Paris Saint-Germain,FRA 1,tots,96,RW,143K,97,96,98,97,56,80,5,3,H/M,Left,"2,426"
Hakim Ziyech,Ajax,NED 1,tots,96,CAM,108K,92,95,99,96,64,84,5,3,H/M,Left,"2,428"
Lautaro Martinez,Inter,ITA 1,tots,96,ST,350K,96,96,88,98,60,98,4,4,H/M,Right,"2,402"
Ciro Immobile,Lazio,ITA 1,tots,96,ST,109K,93,98,80,95,48,91,3,4,H/M,Right,"2,304"
Josip Ilicic,Atalanta,ITA 1,tots,96,ST,115K,89,97,97,97,55,85,4,4,M/M,Left,"2,328"
Alejandro Gomez,Atalanta,ITA 1,tots,96,CAM,239K,98,95,97,99,60,77,4,4,H/M,Right,"2,434"
Jadon Sancho,Borussia Dortmund,GER 1,tots,96,RF,359K,98,92,94,98,47,77,5,4,M/L,Right,"2,253"
Joshua Kimmich,Bayern München,GER 1,tots,96,CDM,196K,87,88,97,95,90,88,3,4,H/L,Right,"2,514"
Mats Hummels,Borussia Dortmund,GER 1,tots,96,CB,98.5K,76,70,92,89,98,94,3,3,H/M,Right,"2,355"
Antoine Griezmann,FC Barcelona,ESP 1,tots,96,LW,300K,96,95,93,97,63,85,4,3,H/H,Left,"2,483"
Sergio Ramos,Real Madrid,ESP 1,tots,96,CB,440K,91,80,85,84,97,94,3,3,H/M,Right,"2,474"
Jan Oblak,Atlético de Madrid,ESP 1,tots,96,GK,90K,95,98,85,95,55,96,1,3,M/M,Right,0
Toni Kroos,Real Madrid,ESP 1,tots,96,CM,114K,81,90,98,96,86,86,3,5,M/M,Right,"2,425"
Nabil Fekir,Real Betis Balompié,ESP 1,tots,96,CAM,189K,93,96,93,97,45,91,4,3,H/M,Left,"2,343"
Pierre-Emerick Aubameyang,Arsenal,ENG 1,tots,96,ST,714K,99,98,90,95,45,84,4,4,H/L,Right,"2,349"
Sergio Aguero,Manchester City,ENG 1,tots,96,ST,549K,95,97,89,98,40,89,4,4,H/M,Right,"2,344"
Lionel Messi,FC Barcelona,ESP 1,shapeshifter,96,CF,945K,91,95,94,98,41,71,4,4,H/L,Left,"2,267"
Johan Cruyff,Icons,ICO,iconmoment,96,CF,14.6M,93,96,93,98,43,77,5,5,H/L,Right,"2,319"
Matthijs de Ligt,Piemonte Calcio,ITA 1,toty,96,CB,280K,85,75,86,88,96,96,2,4,M/H,Right,"2,325"
Lionel Messi,FC Barcelona,ESP 1,potmlaliga,96,RW,,90,94,94,98,41,69,4,4,M/L,Left,"2,252"
Lionel Messi,FC Barcelona,ESP 1,totgsucl,96,RW,760K,91,94,94,98,42,70,4,4,M/L,Left,"2,263"
Samir Handanovic,Inter,ITA 1,europalive,96,GK,110K,98,97,84,98,62,98,1,2,M/M,Right,0
Ronaldo Nazario,Icons,ICO,icon,96,ST,9.5M,97,95,81,95,45,76,5,5,M/M,Right,"2,252"
Zinedine Zidane,Icons,ICO,icon,96,CAM,4M,85,92,96,95,75,86,5,5,M/M,Right,"2,426"
Timo Werner,Chelsea,ENG 1,sbcprem,95,ST,,99,96,86,94,45,85,4,4,H/M,Right,"2,296"
Rodrigo,Leeds United,ENG 2,sbcprem,95,ST,,98,95,90,94,56,88,4,4,H/M,Left,"2,397"
Arthur,Piemonte Calcio,ITA 1,sbcprem,95,CM,,87,91,96,97,88,87,4,4,M/M,Right,"2,499"
Blaise Matuidi,Inter Miami,USA 1,flashback,95,CDM,,91,80,93,95,96,95,3,3,M/H,Left,"2,513"
Gareth Bale,Real Madrid,ESP 1,seasonreward,95,ST,,99,97,93,94,70,88,4,4,M/M,Left,"2,482"
Luuk de Jong,Sevilla FC,ESP 1,award,95,ST,,92,95,88,95,60,93,3,5,M/H,Right,"2,357"
David Alaba,Bayern München,GER 1,uclshowdown,95,CB,,93,82,94,92,95,92,3,4,M/M,Left,"2,542"
Jann-Fiete Arp,Bayern München,GER 1,uclshowdown,95,ST,,97,94,86,98,50,88,4,4,H/M,Right,"2,304"
Bernat,Paris Saint-Germain,FRA 1,uclshowdown,95,LB,,96,75,93,96,94,92,4,3,H/M,Left,"2,488"
Mason Greenwood,Manchester United,ENG 1,europalive,95,CF,,95,95,89,96,62,87,3,5,M/M,Left,"2,411"
Robert Lewandowski,Bayern München,GER 1,motm,95,ST,208K,87,96,84,92,47,89,4,4,H/M,Right,"2,312"
Alexis Sanchez,Inter,ITA 1,summer4,95,ST,,97,95,93,99,54,93,4,4,H/H,Right,"2,467"
Paul Pogba,Manchester United,ENG 1,summer2,95,CM,,88,93,95,95,81,93,5,4,H/M,Right,"2,512"
Danilo,Piemonte Calcio,ITA 1,summer4,95,RB,,96,83,92,97,97,93,3,4,H/M,Right,"2,554"
Vinicius Junior,Real Madrid,ESP 1,summer4,95,LW,,99,94,88,99,41,83,5,4,H/M,Right,"2,310"
Phil Foden,Manchester City,ENG 1,summer4,95,CAM,,93,90,95,95,70,80,4,4,H/M,Left,"2,356"
Zlatan Ibrahimovic,Milan,ITA 1,summer2,95,ST,,94,97,90,94,41,97,5,4,M/L,Right,"2,314"
Moussa Diaby,Bayer 04 Leverkusen,GER 1,summer4,95,LM,,99,91,93,97,57,77,4,4,H/M,Left,"2,297"
Mislav Orsic,Dinamo Zagreb,CRO 1,tots,95,LM,110K,99,96,93,95,73,84,3,4,H/H,Right,"2,460"
Dries Mertens,Napoli,ITA 1,flashback,95,ST,,96,95,93,98,45,66,4,4,H/L,Right,"2,296"
Carlos Tevez,Buenos Aires,ARG 1,tots,95,ST,107K,94,95,91,96,62,98,4,4,H/L,Right,"2,422"
Thiago Silva,Paris Saint-Germain,FRA 1,tots,95,CB,80K,79,62,85,85,96,91,2,3,M/H,Right,"2,307"
Marco Verratti,Paris Saint-Germain,FRA 1,tots,95,CM,97K,81,80,96,97,92,81,4,4,M/H,Right,"2,451"
Paulinho,Guangzhou Evergrande Taobao,CHN 1,tots,95,CM,166K,85,94,89,92,87,95,4,4,H/H,Right,"2,488"
Quincy Promes,Ajax,NED 1,tots,95,LM,126K,98,95,93,96,50,84,5,4,H/M,Right,"2,380"
Romelu Lukaku,Inter,ITA 1,tots,95,ST,,94,96,88,94,44,97,3,4,M/M,Left,"2,274"
Stefan de Vrij,Inter,ITA 1,tots,95,CB,89.5K,84,52,78,83,97,90,2,4,M/H,Right,"2,120"
Wojciech Szczesny,Piemonte Calcio,ITA 1,tots,95,GK,88K,96,92,84,98,58,96,1,3,M/M,Right,0
Erling Braut Haaland,Borussia Dortmund,GER 1,tots,95,ST,247K,97,97,89,94,54,97,3,4,H/M,Left,"2,370"
Marco Reus,Borussia Dortmund,GER 1,tots,95,CAM,320K,94,95,94,93,52,81,4,4,H/M,Right,"2,368"
Thomas Muller,Bayern München,GER 1,tots,95,CM,162K,91,95,91,94,78,82,3,4,H/H,Right,"2,429"
Marc-Andre ter Stegen,FC Barcelona,ESP 1,tots,95,GK,91K,96,93,94,97,48,95,1,4,M/M,Right,0
Riyad Mahrez,Manchester City,ENG 1,tots,95,RW,215K,95,94,95,97,50,77,5,4,M/M,Left,"2,334"
Heung Min Son,Tottenham Hotspur,ENG 1,tots,95,LM,400K,96,95,94,96,51,81,4,5,H/H,Right,"2,345"
Trent Alexander-Arnold,Liverpool,ENG 1,tots,95,RB,260K,92,85,96,92,93,87,3,4,H/M,Right,"2,515"
Jamie Vardy,Leicester City,ENG 1,tots,95,ST,223K,97,96,87,94,68,90,3,4,H/H,Right,"2,446"
Kevin De Bruyne,Manchester City,ENG 1,card58,95,CM,370K,82,93,96,92,66,84,4,5,H/H,Right,"2,356"
Cristiano Ronaldo,Piemonte Calcio,ITA 1,shapeshifter,95,RW,992K,94,94,85,91,39,82,5,4,H/M,Left,"2,240"
Garrincha,Icons,ICO,iconmoment,95,RW,1.8M,92,90,96,97,42,73,5,4,H/L,Right,"2,282"
Paolo Maldini,Icons,ICO,iconmoment,95,CB,5.6M,88,60,77,70,99,85,2,4,M/H,Right,"2,126"
Thierry Henry,Icons,ICO,iconmoment,95,ST,2.2M,96,95,86,96,54,82,4,4,H/M,Right,"2,330"
Lev Yashin,Icons,ICO,iconmoment,95,GK,900K,98,91,76,99,66,99,1,3,M/M,Right,0
Ronaldinho,Icons,ICO,iconmoment,95,CAM,13.3M,95,93,94,98,38,83,5,4,H/L,Right,"2,310"
Neymar Jr,Paris Saint-Germain,FRA 1,headliner4,95,CAM,1.6M,94,90,93,98,35,62,5,5,H/M,Right,"2,213"
Eden Hazard,Real Madrid,ESP 1,moments,95,LW,,94,92,92,97,39,71,4,4,H/M,Right,"2,239"
Trent Alexander-Arnold,Liverpool,ENG 1,toty,95,RB,290K,92,85,97,92,92,87,3,4,H/M,Right,"2,515"
Lionel Messi,FC Barcelona,ESP 1,totynominee,95,RW,649K,88,93,93,97,40,67,4,4,M/L,Left,"2,217"
Leon Goretzka,Bayern München,GER 1,ucllive,95,CM,405K,94,93,93,95,92,92,3,4,H/M,Right,"2,554"
Lionel Messi,FC Barcelona,ESP 1,gold-inform,95,RW,590K,89,93,93,97,40,68,4,4,M/L,Left,"2,223"
Kingsley Coman,Bayern München,GER 1,ucllive,95,LM,170K,99,96,94,98,42,79,4,3,M/L,Right,"2,349"
Pele,Icons,ICO,icon,95,CF,2.3M,96,93,90,95,56,75,5,4,H/M,Right,"2,357"
Diego Maradona,Icons,ICO,icon,95,CAM,1.3M,88,91,90,95,42,75,5,3,H/M,Left,"2,262"
Thomas Meunier,Borussia Dortmund,GER 1,sbcprem,94,RB,,93,87,91,92,94,97,4,4,H/H,Right,"2,476"
Ferran Torres,Manchester City,ENG 1,sbcprem,94,RM,,97,92,92,95,51,79,4,4,H/M,Right,"2,270"
Darlington Nagbe,Atlanta United FC,USA 1,seasonreward,94,CM,,97,88,90,98,85,90,4,4,M/M,Right,"2,487"
Sebastian Blanco,Portland Timbers,USA 1,award,94,LM,,95,93,93,96,51,88,3,5,H/M,Right,"2,394"
Joao Felix,Atlético de Madrid,ESP 1,ucllive,94,CF,,95,94,88,95,54,84,5,4,H/M,Right,"2,359"
Joe Bryan,Fulham,ENG 2,award,94,LB,,95,88,93,92,90,92,3,4,H/M,Left,"2,530"
Rodrigo Palacio,Bologna,ITA 1,flashback,94,ST,,95,94,90,97,64,90,4,4,H/H,Right,"2,465"
Moussa Sissoko,Tottenham Hotspur,ENG 1,summer2,94,CM,,94,85,92,95,93,99,3,4,H/H,Right,"2,494"
Thomas Delaney,Borussia Dortmund,GER 1,summer2,94,CDM,,91,86,91,93,96,95,4,5,H/H,Left,"2,542"
Harry Kane,Tottenham Hotspur,ENG 1,gold-inform,94,ST,149K,82,97,88,88,52,88,3,4,H/H,Right,"2,300"
Christian Pulisic,Chelsea,ENG 1,summer2,94,LW,,99,91,92,98,51,76,4,4,H/M,Right,"2,333"
Arturo Vidal,FC Barcelona,ESP 1,summer2,94,CM,,87,90,91,92,93,94,4,4,H/H,Right,"2,541"
Joao Felix,Atlético de Madrid,ESP 1,summer2,94,CF,,94,94,89,95,51,84,5,4,H/M,Right,"2,346"
David Luiz,Arsenal,ENG 1,summer2,94,CB,,89,80,88,88,94,92,3,3,M/M,Right,"2,441"
Bernardo Silva,Manchester City,ENG 1,summer2,94,RW,,94,91,95,99,57,78,4,4,H/H,Left,"2,329"
Georginio Wijnaldum,Liverpool,ENG 1,summer2,94,CM,,92,90,95,95,86,91,4,3,H/H,Right,"2,526"
Franck Ribery,Fiorentina,ITA 1,summer2,94,LM,,97,92,93,96,39,87,5,5,H/M,Right,"2,307"
Christian Eriksen,Inter,ITA 1,summer2,94,CAM,,88,95,96,95,60,75,5,5,H/H,Right,"2,321"
Takefusa Kubo,RCD Mallorca,ESP 1,summer2,94,RM,,99,93,94,98,51,81,4,4,H/M,Left,"2,341"
Bruno Fernandes,Manchester United,ENG 1,summer2,94,CAM,,92,94,96,96,75,84,4,5,H/H,Right,"2,490"
Franck Yannick Kessie,Milan,ITA 1,summer2,94,CM,,87,91,92,92,92,96,4,4,H/H,Right,"2,494"
Ivan Perisic,Bayern München,GER 1,summer2,94,LM,,96,93,90,96,72,88,4,5,M/M,Right,"2,460"
David Silva,Manchester City,ENG 1,sbcprem,94,CAM,,85,89,95,96,60,68,4,3,H/M,Left,"2,307"
Jonathan David,AA Gent,BEL 1,tots,94,CAM,111K,97,94,90,95,45,85,3,5,M/M,Right,"2,217"
Ignacio Fernandez,Nunez,ARG 1,tots,94,CM,122K,90,90,95,95,85,88,4,4,H/M,Left,"2,480"
Eduardo Salvio,Buenos Aires,ARG 1,tots,94,RM,102K,97,93,92,98,72,87,4,4,H/M,Right,"2,493"
Josef Martinez,Atlanta United FC,USA 1,tots,94,ST,90K,99,95,80,95,40,89,4,4,H/M,Right,"2,280"
Houssem Aouar,Olympique Lyonnais,FRA 1,tots,94,CM,110K,92,91,95,98,84,85,4,3,H/M,Right,"2,489"
Memphis Depay,Olympique Lyonnais,FRA 1,tots,94,CF,119K,96,94,93,95,43,89,5,3,H/L,Right,"2,350"
Marquinhos,Paris Saint-Germain,FRA 1,tots,94,CB,85.5K,86,50,86,85,95,91,3,3,M/H,Right,"2,221"
Renato Sanches,LOSC Lille,FRA 1,tots,94,CM,142K,89,93,89,94,88,95,4,4,H/H,Right,"2,515"
Hulk,Shanghai SIPG,CHN 1,tots,94,RW,108K,92,97,92,94,60,95,4,3,H/M,Left,"2,386"
Renato Augusto,Beijing Sinobo Guoan,CHN 1,tots,94,CM,150K,80,86,92,95,84,85,4,4,M/M,Right,"2,394"
Donny van de Beek,Ajax,NED 1,tots,94,CDM,82K,85,92,92,89,91,93,3,3,H/H,Right,"2,465"
Oussama Idrissi,AZ,NED 1,tots,94,LW,135K,99,91,89,98,48,86,4,3,H/M,Right,"2,274"
Chris Smalling,Roma,ITA 1,tots,94,CB,89.5K,87,59,79,77,94,96,2,3,M/H,Right,"2,144"
Samir Handanovic,Inter,ITA 1,tots,94,GK,73.5K,95,92,77,97,60,97,1,2,M/M,Right,0
Sergej Milinkovic-Savic,Lazio,ITA 1,tots,94,CM,110K,83,91,91,95,89,96,4,4,H/M,Right,"2,472"
Paulo Dybala,Piemonte Calcio,ITA 1,tots,94,ST,171K,93,93,95,98,51,77,4,4,M/M,Left,"2,377"
Alex Telles,FC Porto,POR 1,tots,94,LB,176K,96,82,95,93,94,88,3,2,H/H,Left,"2,526"
Pizzi,SL Benfica,POR 1,tots,94,RM,115K,90,90,94,94,72,81,3,4,H/M,Right,"2,415"
Yann Sommer,Borussia M.gladbach,GER 1,tots,94,GK,80K,91,95,92,95,60,91,1,4,M/M,Right,0
Filip Kostic,Eintracht Frankfurt,GER 1,tots,94,LM,96K,96,93,89,95,75,89,3,3,H/H,Left,"2,431"
Kai Havertz,Bayer 04 Leverkusen,GER 1,tots,94,CAM,140K,94,94,93,95,54,78,4,4,M/M,Left,"2,310"
Santi Cazorla,Villarreal CF,ESP 1,tots,94,CM,78K,87,91,97,97,80,86,4,5,H/L,Right,"2,499"
Carvajal,Real Madrid,ESP 1,tots,94,RB,110K,93,56,88,90,94,93,3,3,H/H,Right,"2,311"
Frenkie de Jong,FC Barcelona,ESP 1,tots,94,CM,210K,88,85,93,97,89,88,4,3,M/H,Right,"2,463"
Marcus Rashford,Manchester United,ENG 1,tots,94,LM,250K,98,94,88,93,52,89,5,3,H/H,Right,"2,356"
Jordan Henderson,Liverpool,ENG 1,tots,94,CM,147K,84,89,95,90,93,94,3,3,H/H,Right,"2,525"
Andrew Robertson,Liverpool,ENG 1,tots,94,LB,225K,94,74,94,92,92,90,3,2,H/H,Left,"2,368"
Robert Lewandowski,Bayern München,GER 1,card58,94,ST,159K,85,95,82,91,46,88,4,4,H/M,Right,"2,278"
Kylian Mbappe,Paris Saint-Germain,FRA 1,birthday,94,ST,3.1M,99,92,88,95,45,84,5,5,H/L,Right,"2,284"
Eden Hazard,Real Madrid,ESP 1,birthday,94,ST,210K,93,90,90,96,38,70,5,4,H/M,Right,"2,199"
Neymar Jr,Paris Saint-Germain,FRA 1,potmligue1,94,LW,,93,89,91,97,34,60,5,5,H/M,Right,"2,173"
Lothar Matthaus,Icons,ICO,iconmoment,94,CM,1.6M,91,92,92,84,92,87,3,4,H/H,Right,"2,515"
Franco Baresi,Icons,ICO,iconmoment,94,CB,470K,74,50,78,75,97,84,2,3,M/H,Right,"2,109"
Alessandro Del Piero,Icons,ICO,iconmoment,94,CAM,730K,86,96,92,94,46,70,4,5,H/M,Right,"2,240"
Kaka,Icons,ICO,iconmoment,94,CAM,1.7M,95,94,91,95,46,77,5,4,H/M,Right,"2,264"
George Best,Icons,ICO,iconmoment,94,LW,3.5M,96,95,85,98,59,73,4,4,H/M,Right,"2,356"
Ryan Giggs,Icons,ICO,iconmoment,94,LM,317K,94,86,91,93,45,68,3,2,H/M,Left,"2,211"
Fabio Cannavaro,Icons,ICO,iconmoment,94,CB,880K,85,44,65,70,98,90,2,3,M/H,Right,"2,051"
Carlos Alberto Torres,Icons,ICO,iconmoment,94,RB,1.3M,92,70,82,88,92,89,3,4,H/M,Right,"2,322"
Ruud Gullit,Icons,ICO,iconmoment,94,CF,15M,90,95,93,91,83,91,4,5,H/M,Right,"2,530"
Javier Zanetti,Icons,ICO,iconmoment,94,CDM,675K,89,64,89,86,93,85,2,4,H/H,Right,"2,286"
Andrea Pirlo,Icons,ICO,iconmoment,94,CM,500K,76,85,97,93,76,68,5,4,M/M,Right,"2,338"
Eusebio,Icons,ICO,iconmoment,94,CF,14M,97,99,87,95,46,80,4,5,H/M,Right,"2,371"
Puyol,Icons,ICO,iconmoment,94,CB,595K,73,46,70,61,98,94,2,3,M/H,Right,"2,002"
Marco van Basten,Icons,ICO,iconmoment,94,ST,360K,86,95,77,91,39,80,3,4,M/M,Right,"2,187"
Roberto Baggio,Icons,ICO,iconmoment,94,CF,444K,89,90,93,94,41,62,5,4,M/L,Right,"2,196"
Mohamed Salah,Liverpool,ENG 1,headliner4,94,RW,321K,97,91,90,93,50,80,4,3,H/M,Left,"2,284"
Frenkie de Jong,FC Barcelona,ESP 1,toty,94,CM,290K,88,87,93,95,88,90,4,3,M/H,Right,"2,470"
Andrew Robertson,Liverpool,ENG 1,toty,94,LB,229K,94,75,94,91,92,89,3,2,H/H,Left,"2,363"
Kevin De Bruyne,Manchester City,ENG 1,gold-inform,94,CAM,260K,81,91,95,90,65,83,4,5,H/H,Right,"2,318"
Cristiano Ronaldo,Piemonte Calcio,ITA 1,totynominee,94,ST,417K,91,94,83,90,36,79,5,4,H/L,Right,"2,186"
Cristiano Ronaldo,Piemonte Calcio,ITA 1,gold-inform,94,LW,369K,91,94,84,90,36,80,5,4,H/L,Right,"2,196"
Marquinhos,Paris Saint-Germain,FRA 1,ucllive,94,CB,114K,86,49,86,86,95,88,3,3,M/H,Right,"2,210"
N'Golo Kante,Chelsea,ENG 1,ucllive,94,CDM,376K,85,71,85,88,93,90,2,3,M/H,Right,"2,289"
Lionel Messi,FC Barcelona,ESP 1,champsrare,94,RW,185K,87,92,92,96,39,66,4,4,M/L,Left,"2,201"
Lionel Messi,FC Barcelona,ESP 1,gold,94,RW,170K,87,92,92,96,39,66,4,4,M/L,Left,"2,201"
Ronaldo Nazario,Icons,ICO,icon,94,ST,5.8M,93,93,80,93,46,80,5,5,M/L,Right,"2,230"
Johan Cruyff,Icons,ICO,icon,94,CF,5.1M,91,92,91,94,42,73,5,5,H/L,Right,"2,245"
Ronaldinho,Icons,ICO,icon,94,LW,3.9M,92,90,91,95,37,81,5,4,H/L,Right,"2,234"
Paolo Maldini,Icons,ICO,icon,94,CB,2M,86,56,75,69,96,83,2,4,M/H,Right,"2,045"
Lev Yashin,Icons,ICO,icon,94,GK,550K,95,89,75,96,65,95,1,3,M/M,Right,"1,234"
Zinedine Zidane,Icons,ICO,icon,94,CAM,1.7M,82,90,93,92,72,83,5,5,M/M,Right,"2,383"
Garrincha,Icons,ICO,icon,94,RW,750K,90,87,94,96,41,68,5,4,M/L,Right,"2,210"
Douglas Costa,Piemonte Calcio,ITA 1,seasonreward,93,CAM,,99,90,88,98,52,79,5,4,H/M,Left,"2,324"
Emil Forsberg,RB Leipzig,GER 1,uclshowdown,93,CAM,,88,89,93,94,43,82,4,4,M/M,Right,"2,257"
Ansu Fati,FC Barcelona,ESP 1,ucllive,93,RW,,98,93,91,97,48,76,4,4,H/M,Right,"2,312"
Henrikh Mkhitaryan,Roma,ITA 1,europalive,93,RM,,93,92,93,93,65,82,4,5,H/H,Right,"2,400"
Federico Valverde,Real Madrid,ESP 1,ucllive,93,CM,,88,88,93,93,85,86,3,3,M/M,Right,"2,314"
Andrej Kramaric,TSG 1899 Hoffenheim,GER 1,summer2,93,ST,,89,97,88,97,40,85,4,4,H/M,Right,"2,320"
Adrien Rabiot,Piemonte Calcio,ITA 1,summer2,93,CM,,88,88,93,95,92,95,3,4,H/H,Left,"2,511"
Nelson Semedo,FC Barcelona,ESP 1,summer2,93,RB,,99,70,84,94,92,90,4,3,M/H,Right,"2,344"
Arthur Masuaku,West Ham United,ENG 1,summer4,93,LB,,98,78,92,96,95,88,4,2,H/M,Left,"2,458"
Trezeguet,Aston Villa,ENG 1,summer4,93,LW,,98,95,90,97,48,81,5,5,H/M,Right,"2,257"
Emre Can,Borussia Dortmund,GER 1,seasonreward,93,CDM,,88,87,92,93,93,94,4,4,M/M,Right,"2,495"
Federico Bernardeschi,Piemonte Calcio,ITA 1,seasonreward,93,RM,,95,91,92,98,70,81,5,4,H/M,Left,"2,396"
Ante Rebic,Milan,ITA 1,summer2,93,ST,,98,95,83,95,49,93,4,4,H/M,Right,"2,290"
Simone Verdi,Torino,ITA 1,summer2,93,CAM,,97,93,93,96,56,72,4,5,H/M,Left,"2,361"
Andrea Belotti,Torino,ITA 1,summer2,93,ST,,92,95,76,94,48,94,3,5,H/H,Right,"2,284"
